Vote by County	Clinton	Trump	Johnson
Los Angeles	2464364	769743	88968
San Diego	735476	477766	51663
Orange	609961	507148	46128 
Riverside	373695	333243	24089 
Santa Clara	511684	144826	25325
Alameda	514842	95922	17830 
San Bernardino	340833	271240	21050
Sacramento	326023	189789	24412 
Contra Costa	319287	115956	16123 
San Francisco	345084	37688	9904 
Ventura	194402	132323	13679
San Mateo	237882	57929	9464 
Fresno	141341	124049	9246
Kern	98689	129584	9359
Sonoma	160435	51408	8987 
San Joaquin	121124	88936	8049
Placer	73509	95138	9245 
Santa Barbara	107142	56365	6748
Stanislaus	81647	78494	6662 
Solano	102360	51920	6254 
Marin	108707	21771	4180
San Luis Obispo	67107	56164	6473 
Monterey	89088	34895	4547 
Santa Cruz	95249	22438	4485 
Tulare	47585	58299	3800 
Butte	41567	45144	4625 
El Dorado	36404	49247	5027	
Yolo	54752	20739	3346 
Shasta	22301	51778	3382 
Merced	37317	28725	2410 
Napa	39199	17411	2551 
Humboldt	33200	18373	3681 
Nevada	26053	23365	2378 
Imperial	32667	12704	1221 
Madera	17029	23357	1558 
Mendocino	22079	10888	2108 
Kings	13617	18093	1338 
Sutter	13076	18176	1437 
Tuolumne	9123	14551	1101 
Lake	11496	10599	1095 
Tehama	6809	15494	953 
Calaveras	7944	13511	1104 
Yuba	7910	13170	1063 
San Benito	12521	7841	815 
Siskiyou	7234	11341	875 
Amador	6004	10485	804 
Lassen	2224	7574	473
Plumas	3459	5420	411 
Del Norte	3485	5134	416
Glenn	3065	5788	375 
Mariposa	3122	5185	326 
Inyo	3155	4248	328 
Colusa	2661	3551	260 
Trinity	2214	2812	302
Mono	2773	2111	222
Modoc	877	2696	122
Sierra	601	1048	98
Alpine	334	217	25 
